country,year,population
EU27 & UK,2019,514203518
Austria,2019,8879920
Belgium,2019,11488980
Bulgaria,2019,6975761
Croatia,2019,1228836
Cyprus,2019,10671870
Czech Republic,2019,5814422
Denmark,2019,47134837
Estonia,2019,1326898
Finland,2019,5521606
France,2019,67388001
Germany,2019,83092962
Greece,2019,66836327
Hungary,2019,10721582
Ireland,2019,4065253
Italy,2019,9771141
Latvia,2019,4934340
Lithuania,2019,59729081
Luxembourg,2019,2794137
Malta,2019,620001
Netherlands,2019,1913822
Poland,2019,504062
Portugal,2019,17344874
Romania,2019,37965475
Slovakia,2019,10286263
Slovenia,2019,19371648
Spain,2019,5454147
Sweden,2019,2088385
United Kingdom,2019,10278887
EU27 & UK,2020,514773549
Austria,2020,8916864
Belgium,2020,11538604
Bulgaria,2020,6934015
Croatia,2020,1237537
Cyprus,2020,10697858
Czech Republic,2020,5831404
Denmark,2020,47365655
Estonia,2020,1329522
Finland,2020,5529543
France,2020,67571107
Germany,2020,83160871
Greece,2020,67081234
Hungary,2020,10698599
Ireland,2020,4047680
Italy,2020,9750149
Latvia,2020,4985382
Lithuania,2020,59438851
Luxembourg,2020,2794885
Malta,2020,630419
Netherlands,2020,1900449
Poland,2020,515332
Portugal,2020,17441500
Romania,2020,37899070
Slovakia,2020,10297081
Slovenia,2020,19265250
Spain,2020,5458827
Sweden,2020,2102419
United Kingdom,2020,10353442
EU27 & UK,2021,514206100
Austria,2021,8955797
Belgium,2021,11592952
Bulgaria,2021,6877743
Croatia,2021,1244188
Cyprus,2021,10505772
Czech Republic,2021,5856733
Denmark,2021,47415750
Estonia,2021,1330932
Finland,2021,5541017
France,2021,67749632
Germany,2021,83196078
Greece,2021,67026300
Hungary,2021,10641221
Ireland,2021,3879000
Italy,2021,9709891
Latvia,2021,5033165
Lithuania,2021,59109668
Luxembourg,2021,2800839
Malta,2021,640064
Netherlands,2021,1884490
Poland,2021,518536
Portugal,2021,17533044
Romania,2021,37747124
Slovakia,2021,10325147
Slovenia,2021,19119880
Spain,2021,5447247
Sweden,2021,2108079
United Kingdom,2021,10415811
EU27 & UK,2022,514927461
Austria,2022,9042528
Belgium,2022,11669446
Bulgaria,2022,6465097
Croatia,2022,1251488
Cyprus,2022,10526073
Czech Republic,2022,5903037
Denmark,2022,47615034
Estonia,2022,1344768
Finland,2022,5556880
France,2022,67935660
Germany,2022,84079811
Greece,2022,66971411
Hungary,2022,10566531
Ireland,2022,3854000
Italy,2022,9683505
Latvia,2022,5086988
Lithuania,2022,58856847
Luxembourg,2022,2833000
Malta,2022,650774
Netherlands,2022,1883379
Poland,2022,523417
Portugal,2022,17703090
Romania,2022,37561599
Slovakia,2022,10379007
Slovenia,2022,18956666
Spain,2022,5431752
Sweden,2022,2108732
United Kingdom,2022,10486941